$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:7.       

JDAY,QWD(m3s-1)
  40544.0000,      6.2370
  40544.0419,      6.4433
  40544.0834,      6.6557
  40544.1250,      6.8722
  40544.1679,      7.0869
  40544.2096,      7.3001
  40544.2500,      7.5079
  40544.2930,      7.7256
  40544.3346,      7.9382
  40544.3750,      8.1456
  40544.4178,      8.3619
  40544.4584,      8.5697
  40544.5000,      8.7845
  40544.5419,      8.9958
  40544.5834,      9.2077
  40544.6250,      9.4230
  40544.6679,      9.6394
  40544.7084,      9.8457
  40544.7500,     10.0632
  40544.7930,     10.2776
  40544.8335,     10.4837
  40544.8750,     10.7002
  40544.9168,     10.9094
  40544.9584,     11.1217
  40545.0000,     11.3382
  40545.0422,     11.3010
  40545.0834,     11.2606
  40545.1250,     11.2198
  40545.1680,     11.1778
  40545.2084,     11.1381
  40545.2500,     11.0973
  40545.2927,     11.0557
  40545.3334,     11.0156
  40545.3750,     10.9742
  40545.4169,     10.9338
  40545.4585,     10.8931
  40545.5000,     10.8513
  40545.5419,     10.8113
  40545.5836,     10.7706
  40545.6250,     10.7295
  40545.6669,     10.6888
  40545.7085,     10.6481
  40545.7500,     10.6066
  40545.7926,     10.5657
  40545.8336,     10.5256
  40545.8750,     10.4849
  40545.9178,     10.4430
  40545.9585,     10.4031
  40546.0000,     10.3619
  40546.0429,     10.2911
  40546.0835,     10.2219
  40546.1250,     10.1516
  40546.1672,     10.0801
  40546.2084,     10.0101
  40546.2500,      9.9374
  40546.2928,      9.8673
  40546.3335,      9.7982
  40546.3750,      9.7262
  40546.4175,      9.6558
  40546.4584,      9.5863
  40546.5000,      9.5151
  40546.5429,      9.4432
  40546.5847,      9.3723
  40546.6250,      9.3024
  40546.6678,      9.2313
  40546.7095,      9.1606
  40546.7500,      9.0913
  40546.7918,      9.0212
  40546.8346,      8.9486
  40546.8750,      8.8796
  40546.9173,      8.8084
  40546.9596,      8.7367
  40547.0000,      8.6671
  40547.0421,      8.7758
  40547.0834,      8.8866
  40547.1250,      9.0009
  40547.1675,      9.1132
  40547.2094,      9.2259
  40547.2500,      9.3366
  40547.2919,      9.4475
  40547.3334,      9.5589
  40547.3750,      9.6728
  40547.4179,      9.7862
  40547.4595,      9.8984
  40547.5000,     10.0085
  40547.5418,     10.1202
  40547.5842,     10.2339
  40547.6250,     10.3458
  40547.6669,     10.4565
  40547.7094,     10.5703
  40547.7500,     10.6817
  40547.7922,     10.7938
  40547.8341,     10.9061
  40547.8750,     11.0170
  40547.9171,     11.1293
  40547.9591,     11.2423
  40548.0000,     11.3523
  40548.0417,     11.2915
  40548.0841,     11.2252
  40548.1250,     11.1599
  40548.1675,     11.0948
  40548.2094,     11.0295
  40548.2500,     10.9649
  40548.2919,     10.9004
  40548.3342,     10.8343
  40548.3750,     10.7694
  40548.4167,     10.7053
  40548.4593,     10.6389
  40548.5000,     10.5748
  40548.5420,     10.5096
  40548.5842,     10.4435
  40548.6250,     10.3787
  40548.6672,     10.3139
  40548.7092,     10.2482
  40548.7500,     10.1839
  40548.7922,     10.1185
  40548.8343,     10.0528
  40548.8750,      9.9880
  40548.9174,      9.9228
  40548.9594,      9.8574
  40549.0000,      9.7924
  40549.0419,      9.6647
  40549.0843,      9.5318
  40549.1250,      9.4025
  40549.1674,      9.2718
  40549.2095,      9.1405
  40549.2500,      9.0104
  40549.2923,      8.8810
  40549.3344,      8.7494
  40549.3750,      8.6212
  40549.4170,      8.4909
  40549.4595,      8.3582
  40549.5000,      8.2290
  40549.5421,      8.0996
  40549.5845,      7.9670
  40549.6250,      7.8395
  40549.6674,      7.7074
  40549.7096,      7.5759
  40549.7500,      7.4489
  40549.7920,      7.3178
  40549.8345,      7.1847
  40549.8750,      7.0554
  40549.9177,      6.9247
  40549.9585,      6.7974
  40550.0000,      6.6663
  40550.0419,      6.6614
  40550.0833,      6.6597
  40550.1250,      6.6580
  40550.1677,      6.6563
  40550.2096,      6.6547
  40550.2500,      6.6530
  40550.2920,      6.6514
  40550.3336,      6.6497
  40550.3750,      6.6480
  40550.4171,      6.6464
  40550.4585,      6.6447
  40550.5000,      6.6430
  40550.5423,      6.6414
  40550.5836,      6.6397
  40550.6250,      6.6380
  40550.6674,      6.6364
  40550.7086,      6.6347
  40550.7500,      6.6330
  40550.7930,      6.6313
  40550.8336,      6.6297
  40550.8750,      6.6280
  40550.9169,      6.6264
  40550.9587,      6.6247
  40551.0000,      6.6230
  40551.0418,      6.6056
  40551.0837,      6.5874
  40551.1250,      6.5695
  40551.1680,      6.5509
  40551.2087,      6.5331
  40551.2500,      6.5146
  40551.2929,      6.4965
  40551.3338,      6.4789
  40551.3750,      6.4606
  40551.4172,      6.4427
  40551.4589,      6.4246
  40551.5000,      6.4066
  40551.5430,      6.3880
  40551.5838,      6.3704
  40551.6250,      6.3523
  40551.6676,      6.3340
  40551.7086,      6.3161
  40551.7500,      6.2976
  40551.7923,      6.2799
  40551.8338,      6.2619
  40551.8750,      6.2433
  40551.9172,      6.2256
  40551.9588,      6.2076
  40552.0000,      6.1892
  40552.0430,      6.2243
  40552.0838,      6.2587
  40552.1250,      6.2943
  40552.1671,      6.3295
  40552.2086,      6.3648
  40552.2500,      6.4009
  40552.2922,      6.4356
  40552.3337,      6.4709
  40552.3750,      6.5067
  40552.4168,      6.5413
  40552.4587,      6.5770
  40552.5000,      6.6122
  40552.5427,      6.6483
  40552.5838,      6.6832
  40552.6250,      6.7184
  40552.6670,      6.7540
  40552.7089,      6.7893
  40552.7500,      6.8252
  40552.7917,      6.8599
  40552.8334,      6.8954
  40552.8750,      6.9306
  40552.9171,      6.9662
  40552.9586,      7.0015
  40553.0000,      7.0375
  40553.0427,      7.1690
  40553.0836,      7.2992
  40553.1250,      7.4327
  40553.1680,      7.5679
  40553.2086,      7.6972
  40553.2500,      7.8304
  40553.2928,      7.9654
  40553.3336,      8.0952
  40553.3750,      8.2309
  40553.4173,      8.3620
  40553.4585,      8.4932
  40553.5000,      8.6282
  40553.5430,      8.7622
  40553.5835,      8.8912
  40553.6250,      9.0240
  40553.6671,      9.1574
  40553.7086,      9.2892
  40553.7500,      9.4257
  40553.7928,      9.5575
  40553.8334,      9.6872
  40553.8750,      9.8233
  40553.9172,      9.9544
  40553.9584,     10.0852
  40554.0000,     10.2205
  40554.0417,     10.0806
  40554.0833,      9.9331
  40554.1250,      9.7822
  40554.1677,      9.6359
  40554.2085,      9.4930
  40554.2500,      9.3458
  40554.2925,      9.1962
  40554.3334,      9.0529
  40554.3750,      8.9037
  40554.4175,      8.7572
  40554.4584,      8.6128
  40554.5000,      8.4644
  40554.5425,      8.3161
  40554.5835,      8.1726
  40554.6250,      8.0216
  40554.6670,      7.8783
  40554.7084,      7.7325
  40554.7500,      7.5827
  40554.7921,      7.4378
  40554.8335,      7.2924
  40554.8750,      7.1446
  40554.9179,      6.9947
  40554.9584,      6.8523
  40555.0000,      6.7042
  40555.0425,      6.7489
